ID Name,Sample Name,Gear Type,Gear Type Code,Color,Primary Color If Multi,Gear Type If Multi,Language,Manufacturer,Brand,Manufacturing Country,Distributing Country,Link to photo,Comments:
OAH_17_gillnetpile-024,OAH_17_gillnetpile,Float,FL,Orange,,,Japanese,,Sun Brand,,,Lab_subsamples,
OAH_17_Hardplastics-107,OAH_17_Hardplastics,Hard Plastic,HP,silver,,,Japanese,,,,,Lab samples,
OAH_17_Hardplastics-003,OAH_17_Hardplastics,Hard Plastic,HP,black,,,Korean/Arabic numbers,,,,,OAH_17,
OAH_17_Hardplastics-005,OAH_17_Hardplastics,Hard Plastic,HP,black,,,Korean,,,,,OAH_17,
OAH_17_Hardplastics-006,OAH_17_Hardplastics,Hard Plastic,HP,black,,,Korean,,,,,OAH_17,
OAH_17_Hardplastics-036,OAH_17_Hardplastics,Hard Plastic,HP,black,,,English,,,,,OAH_17,
OAH_17_Hardplastics-040,OAH_17_Hardplastics,Hard Plastic,HP,black,,,English,,,,,OAH_17,
OAH_17_Hardplastics-045,OAH_17_Hardplastics,Hard Plastic,HP,grey,,,English,,,,,OAH_17,
OAH_17_Hardplastics-057,OAH_17_Hardplastics,Hard Plastic,HP,multi,,,English,,,,,OAH_17,
OAH_17_Hardplastics-074,OAH_17_Hardplastics,Hard Plastic,HP,blue,,,Arabic numbers,,,,,OAH_17,
OAH_17_Hardplastics-094,OAH_17_Hardplastics,Hard Plastic,HP,black,,,English/Arabic numbers/Japanese?,,,,,OAH_17,
OAH_17_Hardplastics-095,OAH_17_Hardplastics,Hard Plastic,HP,black,,,English/Arabic numbers/Japanese?,,,,,OAH_17,
OAH_17_Hardplastics-098,OAH_17_Hardplastics,Hard Plastic,HP,black,,,Japanese,,,,,OAH_17,
OAH_17_Hardplastics-101,OAH_17_Hardplastics,Hard Plastic,HP,blue,,,English/ Arabic Numbers,,,,,OAH_17,
OAH_17_Hardplastics-102,OAH_17_Hardplastics,Hard Plastic,HP,blue,,,English ,,,,,OAH_17,
OAH_17_Hardplastics-103,OAH_17_Hardplastics,Hard Plastic,HP,green,,,English,,,,,OAH_17,
